qid,label
Q204833,Enhanced Data Rates for GSM Evolution
Q483318,Symbian
Q1505049,S/MIME
Q15618669,product owner
Q29169143,data scientist
Q1254596,software as a service
Q3109006,GlobeCast World TV
Q816432,project manager
Q174077,flash memory
Q238599,5 Whys
Q133139,electromagnetic spectrum
Q1193354,IEEE 802.11n
Q268201,Wireless Markup Language
Q762660,KeePass
Q1017587,Business Objects
Q72588,content delivery network
Q8248940,Bluetooth
Q2985644,comité technique
Q2407,C++
Q288682,XACML
Q9184057,CLIR
Q44127,server
Q22661306,Kubernetes
Q20514253,blockchain
Q13162,Internet Control Message Protocol
Q336284,MPEG-1
Q133454,high-definition television
Q831575,Ishikawa diagram
Q92438,microblogging
Q11103,Internet Protocol version 4
Q786900,MSISDN
Q3025536,DevOps
Q309396,keystroke logging
Q131164,Web 2.0
Q334765,hotspot
Q104534,digital subscriber line
Q1071690,chief security officer
Q1138866,International Commission on Non-Ionizing Radiation Protection
Q727490,scalability
Q484598,CAPTCHA
Q41609,Domain Name System Security Extensions
Q193902,Galileo
Q1933140,carbon dioxide equivalent
Q1487,hacker
Q11273,Moving Picture Experts Group
Q147638,cognitive science
Q1750812,ergonomics
Q257597,SWIFT
Q721869,Reverse Address Resolution Protocol
Q1665102,Institut national de l'information géographique et forestière
Q759676,task
Q3510521,computer security
Q51731363,Point-to-Point Protocol over AAL2
Q309901,open data
Q10322548,MQTT
Q978801,mobile country code
Q1026962,digital humanities
Q135005,phishing
Q678615,CompactFlash
Q276582,binary-coded decimal
Q1091139,Enhanced Interior Gateway Routing Protocol
Q207819,Standard Generalized Markup Language
Q9158,email
Q739120,HTTP/2
Q1057712,FTPS
Q1958286,web indexing
Q21204,International Phonetic Alphabet
Q1240788,supervisor
Q11422650,Kokusai Denshin Denwa
Q3456896,Renater
Q190746,Advanced Encryption Standard
Q242506,Frame Relay
Q2269250,kilobit per second
Q850661,XQuery
Q3816639,Kotlin
Q46441,Cascading Style Sheets
Q16340,XPath
Q2937445,capitalization
Q11155,Border Gateway Protocol
Q230187,crosstalk
Q152763,lithium compounds
Q1502887,geodetic reference system
Q22732,Streisand effect
Q858810,big data
Q9353697,TFTS
Q171,wiki
Q2746660,Agile Manifesto
Q163393,Post Office Protocol 3
Q8777,Hypertext Transfer Protocol
Q2053,HTML5
Q392516,Agence française de sécurité sanitaire des produits de santé
Q214111,packet
Q160453,Simple Mail Transfer Protocol
Q579473,Numericable
Q193858,International Electrotechnical Commission
Q3343549,Nordnet
Q115637,Mobile Station Roaming Number
Q680268,World Radiocommunication Conference
Q229804,3rd Generation Partnership Project
Q160470,Telnet
Q6501125,ground
Q223323,root mean square
Q8795,Internet Protocol
Q570871,email client
Q93249,antivirus software
Q1071978,Réseau Ferré de France
Q80998,firewall
Q210214,IPsec
Q228502,access control
Q1073235,China Communications Standards Association
Q59,PHP
Q431195,IBM Db2
Q206047,Asynchronous Transfer Mode
Q1060131,Challenge-Handshake Authentication Protocol
Q53222,Digital Living Network Alliance
Q2539,machine learning
Q1077480,hypervisor
Q2093,Document Object Model
Q1054787,Nippon Telegraph and Telephone
Q1500419,Open Mobile Alliance
Q79692,3G
Q202745,neuro-linguistic programming
Q344266,Active Server Pages
Q509404,Alcatel-Lucent
Q193933,dioptre
Q200647,EPOC
Q178562,Digital Video Broadcasting
Q54837,Semantic Web
Q80535,MIDI
Q42283,File Transfer Protocol
Q377539,Kernel-based Virtual Machine
Q44395,pascal
Q131566,Institute of Electrical and Electronics Engineers
Q568494,single sign-on
Q161618,asymmetric digital subscriber line
Q2057931,simulator
Q215179,Point-to-point protocol
Q6049601,International Conference on Computer Communications
Q466,World Wide Web
Q2826678,Agence nationale des fréquences
Q1340643,master builder
Q9135,operating system
Q166936,Internet Message Access Protocol
Q432394,assisted GNSS
Q169411,Unified Modeling Language
Q146768,middleware
Q15995590,Wireless Broadband Alliance
Q852835,customer
Q5289,.NET Framework
Q47607,Structured Query Language
Q1135046,secure copy protocol
Q56315412,eSIM
Q185796,NTSC
Q35127,website
Q236908,Six Sigma
Q752245,widescreen
Q338978,Access Point Name_Enable
